낚시터명,낚시터유형,소재지도로명주소,WGS84위도,WGS84경도,주요어종,이용요금,데이터기준일자
은행나무하우스낚시터,기타,강원특별자치도 춘천시 신동면 경춘로 1773,37.8228853588,127.6968574887,붕어+향어+잉어,"하절기 : 15,000원 동절기 : 20,000원",2024-11-30
춘천실내낚시터,기타,강원특별자치도 춘천시 공지로 210,37.8626041785,127.7402414926,향어+잉어,"10,000원",2024-11-30
소양계곡낚시터,기타,강원특별자치도 춘천시 서면 율장길 266,37.8608315164,127.5830549645,향어,"30,000원",2024-11-30
말고개낚시터,기타,강원특별자치도 춘천시 사북면 말고개길 307,38.0134708495,127.6263902594,향어,"30,000원",2024-11-30
팔미리낚시터,기타,강원특별자치도 춘천시 신동면 경춘로 1817,37.8210165363,127.7008514045,잉어+향어+붕어,"25,000원",2024-11-30
은파정낚시터,기타,강원특별자치도 춘천시 동산면 영서로 287-17,37.7558263058,127.8117096475,향어,"40,000원",2024-11-30
고산낚시터,저수지,강원특별자치도 원주시 호저면 호저로 1140,37.466789,127.918048,붕어+향어+잉어,"30,000원",2024-07-08
서곡낚시터,저수지,강원특별자치도 원주시 판부면 백운정길 46,37.298324,127.932703,붕어+향어+잉어,"15,000원",2024-07-08
추곡터널낚시터,기타,강원특별자치도 춘천시 북산면 춘양로 1452,38.0337618623,127.876356773,향어+메기+잉어,"40,000원",2024-11-30
강촌체험장낚시터,기타,강원특별자치도 춘천시 남면 박암관천길 511-55,37.7212312787,127.5391075122,붕어,"30,000원",2024-11-30
거두리낚시터,기타,강원특별자치도 춘천시 동내면 거두길 282-8,37.8604434283,127.7888513667,붕어+향어+잉어,"노지 : 40,000원 / 하우스 : 10,000원",2024-11-30
유포리낚시터,기타,강원특별자치도 춘천시 신북읍 맥국3길 15-28,37.9467657079,127.7748379271,향어+메기,"40,000원",2024-11-30
송어축제,기타,"강원특별자치도 원주시 판부면 매봉길 31, 1층",37.3212032,127.94403309,송어,"10,000",2024-07-08
이무기낚시터,저수지,강원특별자치도 원주시 소초면 신양선녀길 99,37.413059,127.972658,붕어,"20,000원",2024-07-08
단강낚시터,저수지,강원특별자치도 원주시 부론면 섬뜰작실길 26-59,37.156403,127.790081,향어+메기+뱀장어,"50,000원",2024-07-08
취병낚시터,저수지,,37.325026,127.785414,붕어+향어+잉어,"20,000원",2024-07-08
샘골낚시터,저수지,강원특별자치도 원주시 호저면 광학로 177,37.462663,127.939202,"붕어, 잉어, 장어, 메기","30,000원",2024-07-08
신선낚시터,저수지,강원특별자치도 원주시 한가터길 100,37.328381,128.001653,향어+잉어,"15,000원",2024-07-08
도곡낚시터,저수지,강원특별자치도 원주시 소초면 장수1로 191,37.396068,127.976141,붕어+향어+잉어,"30,000원",2024-07-08
호저낚시터,저수지,강원특별자치도 원주시 호저면 평천1길 21,37.42208,127.921589,붕어+향어+잉어,"10,000원",2024-07-08
물고기마을,평지,,37.332017,127.894424,"향어, 메기, 장어","40,000원",2024-07-08
탑전낚시터,저수지,,37.332365,127.828872,붕어+잉어,"15,000원",2024-07-08
승안낚시터,평지,강원특별자치도 원주시 흥업면 돼니길 32-39,37.314986,127.875357,붕어+향어+잉어,"30,000원",2024-07-08
돌모루낚시터,평지,,37.381465,127.975253,붕어+향어+잉어,"10,000원",2024-07-08
금천가든낚시터,평지,"강원특별자치도 태백시 금천길 159, 금천가든낚시터 (금천동)",37.094038,128.994978,"붕어류, 이스라엘잉어, 잉어류","20,000",2019-06-17
혈리낚시터,평지,"강원특별자치도 태백시 사내골길 117, 혈리낚시터 (혈동)",37.129695,128.925167,"붕어류, 이스라엘잉어, 잉어류","20,000",2019-06-17
천동낚시,저수지,강원특별자치도 평창군 평창읍 천동길 163,37.334102,128.380508,붕어+향어+잉어,"30,000",2022-09-19
평창낚시,저수지,강원특별자치도 평창군 평창읍 등강길 44-1,37.34894,128.379776,붕어+향어+잉어,"30,000",2022-09-19
행운낚시터,저수지,강원특별자치도 영월군 주천면 중선로 156,37.3073997,128.3236937,붕어잉어,30000,2024-12-09
연당낚시터,저수지,강원특별자치도 영월군 남면 영월로 468-38,37.177759,128.3780547,"붕어, 잉어",25000,2024-12-09
복지낚시터,저수지,강원특별자치도 영월군 남면 갈골길 103,37.2157028,128.4073103,"붕어, 잉어",15000,2024-12-09
단봉낚시터,저수지,강원특별자치도 동해시 봉정2길 95-9,37.46989535,129.1218004,붕어,1일 10000원,2025-06-24
용곡낚시터,저수지,충청북도 청주시 상당구 미원면 미원초정로 685-26,36.683613,127.636857,붕어+잉어+향어,20000원,2020-07-20
황청낚시터,저수지,충청북도 청주시 상당구 남일면 황청리길 119,36.594752,127.555039,붕어+잉어+향어,25000원,2020-07-20
한계리낚시터,저수지,충청북도 청주시 상당구 가덕면 한계1길 170,36.606594,127.562466,붕어+잉어+향어,30000원,2020-07-20
중리낚시터,저수지,충청북도 청주시 상당구 미원면 쌍이운교로 262,36.669118,127.665454,붕어+잉어+향어,25000원,2020-07-20
이정골낚시터,저수지,,36.636061,127.523977,붕어+잉어+향어,20000원,2020-07-20
장자골낚시터,저수지,충청북도 청주시 상당구 문의면 남계1길 3,36.535554,127.503843,붕어+잉어+향어,25000원,2020-07-20
척산낚시터,저수지,,36.559086,127.453531,붕어+잉어+향어,30000원,2020-07-20
일신낚시터,평지,충청북도 청주시 청원구 오창읍 일신길 34-27,36.756746,127.470374,붕어+잉어+향어,15000원,2020-07-20
유호정낚시터,저수지,충청북도 청주시 청원구 내수읍 우산2길 65,36.710498,127.412345,붕어+잉어+향어,30000원,2020-07-20
부연낚시터,저수지,충청북도 청주시 청원구 북이면 신기초정로 335,36.736716,127.573571,붕어+잉어+향어,20000원,2020-07-20
초정낚시터,저수지,충청북도 청주시 청원구 내수읍 세교초정로 369,36.714903,127.599766,붕어+잉어+향어,30000원,2020-07-20
비상낚시터,저수지,충청북도 청주시 청원구 내수읍 비상길 22-58,36.704427,127.580032,붕어+잉어+향어,30000원,2020-07-20
송말낚시터,저수지,충청북도 청주시 흥덕구 지동로75번길 39 (지동동),36.642624,127.412433,붕어+잉어+향어,30000원,2020-07-20
소로낚시터,저수지,충청북도 청주시 흥덕구 옥산면 소로2길 148,36.697368,127.401441,붕어+잉어+향어,30000원,2020-07-20
호암낚시터,저수지,충청북도 청주시 흥덕구 서부로 988-194 (석곡동),36.606843,127.418748,붕어+잉어+향어,15000원,2020-07-20
공북낚시터,저수지,충청북도 청주시 흥덕구 오송읍 정중연제로 651-84,36.652114,127.312772,붕어+잉어+향어,30000원,2020-07-20
성화낚시터,평지,충청북도 청주시 서원구 성화로 43-9 (성화동),36.608749,127.446669,붕어+잉어+향어,10000원,2020-07-20
주성낚시터,평지,"충청북도 청주시 청원구 내수읍 도원세교로 124-88, 주성낚시터",36.700498,127.536579,붕어+잉어+향어,15000원,2020-07-20
옥산낚시터,평지,,36.653982,127.386549,붕어+잉어+향어,15000원,2020-07-20
연정낚시터,평지,충청북도 청주시 흥덕구 강내면 연정1길 26,36.581306,127.380048,붕어+잉어+향어,30000원,2020-07-20
매전,저수지,,36.81828245,127.8860133,잉어+붕어,15000,2020-11-19
신흥,저수지,,36.87440983,127.7893156,잉어+붕어,15000,2020-11-19
문광,저수지,,36.769021,127.7466789,잉어+붕어,20000,2020-11-19
박달산,저수지,,36.84527458,127.9539078,잉어+붕어,30000,2020-11-19
추산,저수지,,36.90966566,127.8198779,잉어+붕어,15000,2020-11-19
어의곡낚시터,저수지,충청북도 단양군 매포읍 단양로 1317-8,37.0,128.3,잉어+붕어,"30,000원",2022-06-16
오동낚시터,저수지,충청북도 보은군 회인면 오동4길 89,36.5226,127.5813,향어,"30,000원",2024-12-17
입큰붕어낚시터,기타,충청북도 옥천군 동이면 세산2길 10,36.2707834,127.6026089,붕어류,"25,000",2020-12-14
비야골낚시터,기타,"충청북도 옥천군 군북면 비야대정로 282-94, 낚시터",36.3532041,127.5250911,붕어류,20000,2020-12-14
오룡낚시터,저수지,"충청북도 옥천군 이원면 백지길 169-1, 주택",36.2282367,127.6764916,"붕어류, 기타내수면어류",25000,2020-12-14
의평낚시터,저수지,"충청북도 옥천군 이원면 의평길 76, 주택",36.2111008,127.6231871,붕어류,25000,2020-12-14
백지리낚시터,저수지,충청북도 옥천군 이원면 백지1길 38-12,36.2341709,127.6762404,붕어류,25000,2020-12-14
방아실낚시터,저수지,"충청북도 옥천군 군북면 비야대정로 821, 창고",36.3864965,127.532302,"붕어류, 기타내수면류",25000,2020-12-14
은행리낚시터,저수지,충청북도 옥천군 군서면 곤룡로 428-31,36.2687414,127.5033369,붕어류,"20,000",2020-12-14
"군서낚시터(구,장령산)",저수지,"충청북도 옥천군 군서면 동평2길 12-24, 주택",36.2761886,127.5288594,붕어류,"20,000",2020-12-14
대밖낚시터,기타,충청북도 옥천군 이원면 대흥2길 32,36.2446326,127.6219535,기타 내수면어류,"30,000",2020-12-14
중해레저낚시터,기타,충청북도 옥천군 동이면 금강로 17-8,36.2954288,127.6135057,"참돔,우럭,기타해면어류","40,000",2020-12-14
구수리 낚시터,평지,"충청북도 진천군 백곡면 안구수길 34-28, 구수리낚시터",36.887,127.3606,붕어,낚시터 문의,2024-07-15
초평낚시터,저수지,"충청북도 진천군 초평면 평화로 482, 초평호 다목적 광장",36.8103,127.5115,"메기, 붕어, 베스, 동자개",낚시터 문의,2024-07-15
백곡낚시터,저수지,"충청북도 진천군 진천읍 백곡로 1140-14, 초원",36.871,127.3983,"메기, 붕어, 베스",낚시터 문의,2024-07-15
오가리,저수지,,36.815782,127.951453,잉어+붕어,30000,2022-06-17
새골낚시터,평지,충청북도 보은군 탄부면 평각1길 62,36.4663,127.7541,붕어류,"30,000원",2024-12-17
향수사계절 실내낚시터,기타,충청북도 옥천군 옥천읍 양수로6길 72-26,36.289716,127.548671,기타 내수면 어류,"30,000원",2013-03-13
옥녀봉 낚시터,평지,충청북도 진천군 이월면 은행정1길 14-15,,,붕어,,2024-07-15
생극낚시터,기타,충청북도 음성군 생극면 오신로 399-16,37.025839,127.623314,붕어,"55,000원",2023-04-20
제수리낚시터,저수지,충청북도 음성군 금왕읍 금일로284번길 100-4,37.010817,127.554459,붕어,"30,000원",2023-04-20
용대리낚시터,저수지,충청북도 음성군 삼성면 덕호로 360,37.044544,127.514314,붕어,"30,000원",2023-04-20
감곡낚시터,저수지,충청북도 음성군 감곡면 감노로 67-18,37.076491,127.627197,붕어,"20,000원",2023-04-20
상곡낚시터,저수지,충청북도 음성군 삼성면 점골길 51,37.013504,127.450467,붕어,"30,000원",2023-04-20
삼성지낚시터,저수지,충청북도 음성군 삼성면 금일로 1064-6,37.026576,127.484692,붕어,"25,000원",2023-04-20
중부낚시터,저수지,충청북도 음성군 삼성면 용성로5번길 86-24,37.001845,127.47583,붕어,"30,000원",2023-04-20
맹동낚시터,저수지,충청북도 음성군 맹동면 군자길 1492,36.894167,127.571429,붕어,"25,000원",2023-04-20
마이제낚시터,저수지,충청북도 음성군 삼성면 덕정로65번길 102,37.027938,127.494112,붕어,"25,000원",2023-04-20
주봉낚시터,저수지,충청북도 음성군 원남면 주봉로 141,36.866529,127.675445,붕어,"30,000원",2023-04-20
사계지낚시터,저수지,충청북도 음성군 금왕읍 보습길 77,37.020711,127.551423,붕어,"30,000원",2023-04-20
내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,37.01744,127.53839,붕어,"25,000원",2023-04-20
백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,39.967806,127.603211,붕어,"30,000원",2023-04-20
백야낚시터,저수지,충청북도 음성군 금왕읍 백야로 320,39.967806,127.603211,붕어,30000,2023-04-20
내곡낚시터,저수지,충청북도 음성군 금왕읍 마루택길29번길 63,37.01744,127.53839,붕어,25000,2023-04-20
복상골낚시터,평지,충청북도 음성군 감곡면 사곡길 279,37.095607,127.669018,붕어,"40,000원",2023-04-20
생극낚시터,기타,충청북도 음성군 생극면 오신로 399-16,37.025839,127.623314,장어,"55,000원",2023-04-20
봉낚시터,저수지,충청북도 음성군 소이면 충갑길 196,36.88901,127.74706,붕어,"30,000원",2023-04-20
거일낚시터,저수지,충청북도 음성군 감곡면 거일길 156,37.108528,127.657346,붕어,"30,000원",2023-04-20
오궁낚시터,저수지,충청북도 음성군 감곡면 오궁리 124-2,37.111463,127.672462,붕어,"25,000원",2023-04-20
큰골낚시터,저수지,충청북도 음성군 감곡면 대학길190번길 59,37.138054,127.648323,붕어,"30,000원",2023-04-20
차평낚시터,저수지,충청북도 음성군 생극면 차생로 618-20,37.049326,127.622166,붕어,"30,000원",2023-04-20
제수리낚시터,저수지,충청북도 음성군 금왕읍 금일로284번길 100-4,37.010817,127.554459,붕어,"30,000원",2023-04-20
용대리낚시터,저수지,충청북도 음성군 삼성면 덕호로 360,37.044544,127.514314,붕어,"30,000원",2023-04-20
감곡낚시터,저수지,충청북도 음성군 감곡면 감노로 67-18,37.076491,127.627197,붕어,"20,000원",2023-04-20
봉낚시터,저수지,충청북도 음성군 소이면 충갑길 196,36.88901,127.74706,붕어,"30,000원",2023-04-20
거일낚시터,저수지,충청북도 음성군 감곡면 거일길 156,37.108528,127.657346,붕어,"30,000원",2023-04-20
오궁낚시터,저수지,충청북도 음성군 감곡면 오궁리 124-2,37.111463,127.672462,붕어,"25,000원",2023-04-20
큰골낚시터,저수지,충청북도 음성군 감곡면 대학길190번길 59,37.138054,127.648323,붕어,"30,000원",2023-04-20
차평낚시터,저수지,충청북도 음성군 생극면 차생로 618-20,37.049326,127.622166,붕어,"30,000원",2023-04-20
